@RELATION cold
@ATTRIBUTE the NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE cold NUMERIC
@ATTRIBUTE with NUMERIC
@ATTRIBUTE was NUMERIC
@ATTRIBUTE for NUMERIC
@ATTRIBUTE were NUMERIC
@ATTRIBUTE by NUMERIC
@ATTRIBUTE that NUMERIC
@ATTRIBUTE at NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE or NUMERIC
@ATTRIBUTE degrees NUMERIC
@ATTRIBUTE not NUMERIC
@ATTRIBUTE during NUMERIC
@ATTRIBUTE after NUMERIC
@ATTRIBUTE as NUMERIC
@ATTRIBUTE on NUMERIC
@ATTRIBUTE from NUMERIC
@ATTRIBUTE c NUMERIC
@ATTRIBUTE patients NUMERIC
@ATTRIBUTE an NUMERIC
@ATTRIBUTE we NUMERIC
@ATTRIBUTE be NUMERIC
@ATTRIBUTE 1 NUMERIC
@ATTRIBUTE group NUMERIC
@ATTRIBUTE induced NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE temperature NUMERIC
@ATTRIBUTE but NUMERIC
@ATTRIBUTE than NUMERIC
@ATTRIBUTE 5 NUMERIC
@ATTRIBUTE shock NUMERIC
@ATTRIBUTE which NUMERIC
@ATTRIBUTE blood NUMERIC
@ATTRIBUTE control NUMERIC
@ATTRIBUTE both NUMERIC
@ATTRIBUTE 10 NUMERIC
@ATTRIBUTE children NUMERIC
@ATTRIBUTE had NUMERIC
@ATTRIBUTE effect NUMERIC
@ATTRIBUTE stress NUMERIC
@ATTRIBUTE significantly NUMERIC
@ATTRIBUTE are NUMERIC
@ATTRIBUTE may NUMERIC
@ATTRIBUTE have NUMERIC
@ATTRIBUTE reperfusion NUMERIC
@ATTRIBUTE cells NUMERIC
@ATTRIBUTE results NUMERIC
@ATTRIBUTE no NUMERIC
@ATTRIBUTE response NUMERIC
@ATTRIBUTE coronary NUMERIC
@ATTRIBUTE these NUMERIC
@ATTRIBUTE study NUMERIC
@ATTRIBUTE when NUMERIC
@ATTRIBUTE p NUMERIC
@ATTRIBUTE two NUMERIC
@ATTRIBUTE 2 NUMERIC
@ATTRIBUTE n NUMERIC
@ATTRIBUTE all NUMERIC
@ATTRIBUTE protein NUMERIC
@ATTRIBUTE min NUMERIC
@ATTRIBUTE solution NUMERIC
@ATTRIBUTE increased NUMERIC
@ATTRIBUTE 4 NUMERIC
@ATTRIBUTE liver NUMERIC
@ATTRIBUTE expression NUMERIC
@ATTRIBUTE rats NUMERIC
@ATTRIBUTE temperatures NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE between NUMERIC
@ATTRIBUTE flow NUMERIC
@ATTRIBUTE also NUMERIC
@ATTRIBUTE did NUMERIC
@ATTRIBUTE h NUMERIC
@ATTRIBUTE warm NUMERIC
@ATTRIBUTE 30 NUMERIC
@ATTRIBUTE using NUMERIC
@ATTRIBUTE exposure NUMERIC
@ATTRIBUTE ischemia NUMERIC
@ATTRIBUTE water NUMERIC
@ATTRIBUTE significant NUMERIC
@ATTRIBUTE has NUMERIC
@ATTRIBUTE gene NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE found NUMERIC
@ATTRIBUTE glutathione NUMERIC
@ATTRIBUTE bile NUMERIC
@ATTRIBUTE pain NUMERIC
@ATTRIBUTE cell NUMERIC
@ATTRIBUTE more NUMERIC
@ATTRIBUTE analysis NUMERIC
@ATTRIBUTE decreased NUMERIC
@ATTRIBUTE role NUMERIC
@ATTRIBUTE reduced NUMERIC
@ATTRIBUTE increase NUMERIC
@ATTRIBUTE compared NUMERIC
@ATTRIBUTE only NUMERIC
@ATTRIBUTE rate NUMERIC
@ATTRIBUTE levels NUMERIC
@ATTRIBUTE groups NUMERIC
@ATTRIBUTE non NUMERIC
@ATTRIBUTE activity NUMERIC
@ATTRIBUTE associated NUMERIC
@ATTRIBUTE under NUMERIC
@ATTRIBUTE different NUMERIC
@ATTRIBUTE myocardial NUMERIC
@ATTRIBUTE days NUMERIC
@ATTRIBUTE activation NUMERIC
@ATTRIBUTE normal NUMERIC
@ATTRIBUTE suggest NUMERIC
@ATTRIBUTE following NUMERIC
@ATTRIBUTE injury NUMERIC
@ATTRIBUTE their NUMERIC
@ATTRIBUTE 3 NUMERIC
@ATTRIBUTE each NUMERIC
@ATTRIBUTE cspa NUMERIC
@ATTRIBUTE 24 NUMERIC
@ATTRIBUTE vs NUMERIC
@ATTRIBUTE been NUMERIC
@ATTRIBUTE mean NUMERIC
@ATTRIBUTE tissue NUMERIC
@ATTRIBUTE chronic NUMERIC
@ATTRIBUTE plants NUMERIC
@ATTRIBUTE ml NUMERIC
@ATTRIBUTE antibiotic NUMERIC
@ATTRIBUTE left NUMERIC
@ATTRIBUTE one NUMERIC
@ATTRIBUTE 6 NUMERIC
@ATTRIBUTE storage NUMERIC
@ATTRIBUTE mrna NUMERIC
@ATTRIBUTE effects NUMERIC
@ATTRIBUTE three NUMERIC
@ATTRIBUTE weight NUMERIC
@ATTRIBUTE its NUMERIC
@ATTRIBUTE receptors NUMERIC
@ATTRIBUTE biliary NUMERIC
@ATTRIBUTE isolated NUMERIC
@ATTRIBUTE g NUMERIC
@ATTRIBUTE amino NUMERIC
@ATTRIBUTE reflex NUMERIC
@ATTRIBUTE treatment NUMERIC
@ATTRIBUTE 20 NUMERIC
@ATTRIBUTE heart NUMERIC
@ATTRIBUTE dogs NUMERIC
@ATTRIBUTE perfusion NUMERIC
@ATTRIBUTE renal NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE test NUMERIC
@ATTRIBUTE receptor NUMERIC
@ATTRIBUTE 100 NUMERIC
@ATTRIBUTE used NUMERIC
@ATTRIBUTE lower NUMERIC
@ATTRIBUTE skin NUMERIC
@ATTRIBUTE data NUMERIC
@ATTRIBUTE hos1 NUMERIC
@ATTRIBUTE proteins NUMERIC
@ATTRIBUTE type NUMERIC
@ATTRIBUTE growth NUMERIC
@ATTRIBUTE 37 NUMERIC
@ATTRIBUTE enzyme NUMERIC
@ATTRIBUTE long NUMERIC
@ATTRIBUTE could NUMERIC
@ATTRIBUTE responses NUMERIC
@ATTRIBUTE reduction NUMERIC
@ATTRIBUTE brain NUMERIC
@ATTRIBUTE higher NUMERIC
@ATTRIBUTE acute NUMERIC
@ATTRIBUTE rat NUMERIC
@ATTRIBUTE mm NUMERIC
@ATTRIBUTE 8 NUMERIC
@ATTRIBUTE who NUMERIC
@ATTRIBUTE ph NUMERIC
@ATTRIBUTE 15 NUMERIC
@ATTRIBUTE survival NUMERIC
@ATTRIBUTE changes NUMERIC
@ATTRIBUTE function NUMERIC
@ATTRIBUTE body NUMERIC
@ATTRIBUTE time NUMERIC
@ATTRIBUTE measured NUMERIC
@ATTRIBUTE freezing NUMERIC
@ATTRIBUTE having NUMERIC
@ATTRIBUTE studies NUMERIC
@ATTRIBUTE degree NUMERIC
@ATTRIBUTE showed NUMERIC
@ATTRIBUTE loss NUMERIC
@ATTRIBUTE such NUMERIC
@ATTRIBUTE most NUMERIC
@ATTRIBUTE ii NUMERIC
@ATTRIBUTE there NUMERIC
@ATTRIBUTE cooling NUMERIC
@ATTRIBUTE antisense NUMERIC
@ATTRIBUTE day NUMERIC
@ATTRIBUTE core NUMERIC
@ATTRIBUTE other NUMERIC
@ATTRIBUTE promoter NUMERIC
@ATTRIBUTE they NUMERIC
@ATTRIBUTE wall NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE 95 NUMERIC
@ATTRIBUTE same NUMERIC
@ATTRIBUTE stored NUMERIC
@ATTRIBUTE present NUMERIC
@ATTRIBUTE spinal NUMERIC
@ATTRIBUTE wild NUMERIC
@ATTRIBUTE determine NUMERIC
@ATTRIBUTE well NUMERIC
@ATTRIBUTE 12 NUMERIC
@ATTRIBUTE ventricular NUMERIC
@ATTRIBUTE livers NUMERIC
@ATTRIBUTE 9 NUMERIC
@ATTRIBUTE total NUMERIC
@ATTRIBUTE 7 NUMERIC
@ATTRIBUTE energy NUMERIC
@ATTRIBUTE oxygen NUMERIC
@ATTRIBUTE isoflurane NUMERIC
@ATTRIBUTE dependent NUMERIC
@ATTRIBUTE can NUMERIC
@ATTRIBUTE properties NUMERIC
@ATTRIBUTE shown NUMERIC
@ATTRIBUTE recorded NUMERIC
@ATTRIBUTE mutant NUMERIC
@ATTRIBUTE basal NUMERIC
@ATTRIBUTE evidence NUMERIC
@ATTRIBUTE bp NUMERIC
@ATTRIBUTE membrane NUMERIC
@ATTRIBUTE before NUMERIC
@ATTRIBUTE heat NUMERIC
@ATTRIBUTE indicate NUMERIC
@ATTRIBUTE oxymetazoline NUMERIC
@ATTRIBUTE use NUMERIC
@ATTRIBUTE early NUMERIC
@ATTRIBUTE gastric NUMERIC
@ATTRIBUTE some NUMERIC
@ATTRIBUTE related NUMERIC
@ATTRIBUTE mechanism NUMERIC
@ATTRIBUTE inactivated NUMERIC
@ATTRIBUTE those NUMERIC
@ATTRIBUTE nasal NUMERIC
@ATTRIBUTE specific NUMERIC
@ATTRIBUTE acid NUMERIC
@ATTRIBUTE selective NUMERIC
@ATTRIBUTE 25 NUMERIC
@ATTRIBUTE into NUMERIC
@ATTRIBUTE does NUMERIC
@ATTRIBUTE although NUMERIC
@ATTRIBUTE influenza NUMERIC
@ATTRIBUTE tolerance NUMERIC
@ATTRIBUTE whether NUMERIC
@ATTRIBUTE then NUMERIC
@ATTRIBUTE 40 NUMERIC
@ATTRIBUTE infection NUMERIC
@ATTRIBUTE saline NUMERIC
@ATTRIBUTE risk NUMERIC
@ATTRIBUTE monocytogenes NUMERIC
@ATTRIBUTE peripheral NUMERIC
@ATTRIBUTE suggesting NUMERIC
@ATTRIBUTE addition NUMERIC
@ATTRIBUTE 50 NUMERIC
@ATTRIBUTE alpha NUMERIC
@ATTRIBUTE flush NUMERIC
@ATTRIBUTE opioid NUMERIC
@ATTRIBUTE presence NUMERIC
@ATTRIBUTE bladder NUMERIC
@ATTRIBUTE perfused NUMERIC
@ATTRIBUTE adapted NUMERIC
@ATTRIBUTE animals NUMERIC
@ATTRIBUTE diagnosis NUMERIC
@ATTRIBUTE metabolic NUMERIC
@ATTRIBUTE exercise NUMERIC
@ATTRIBUTE while NUMERIC
@ATTRIBUTE observed NUMERIC
@ATTRIBUTE posterior NUMERIC
@ATTRIBUTE system NUMERIC
@ATTRIBUTE first NUMERIC
@ATTRIBUTE findings NUMERIC
@ATTRIBUTE common NUMERIC
@ATTRIBUTE due NUMERIC
@ATTRIBUTE increases NUMERIC
@ATTRIBUTE our NUMERIC
@ATTRIBUTE uw NUMERIC
@ATTRIBUTE cardioplegia NUMERIC
@ATTRIBUTE through NUMERIC
@ATTRIBUTE should NUMERIC
@ATTRIBUTE cellular NUMERIC
@ATTRIBUTE cause NUMERIC
@ATTRIBUTE initial NUMERIC
@ATTRIBUTE s NUMERIC
@ATTRIBUTE flowering NUMERIC
@ATTRIBUTE acclimation NUMERIC
@ATTRIBUTE generation NUMERIC
@ATTRIBUTE years NUMERIC
@ATTRIBUTE correlated NUMERIC
@ATTRIBUTE withdrawal NUMERIC
@ATTRIBUTE even NUMERIC
@ATTRIBUTE molecular NUMERIC
@ATTRIBUTE urticaria NUMERIC
@ATTRIBUTE finger NUMERIC
@ATTRIBUTE nisin NUMERIC
@ATTRIBUTE production NUMERIC
@ATTRIBUTE mediated NUMERIC
@ATTRIBUTE evoked NUMERIC
@ATTRIBUTE 0 NUMERIC
@ATTRIBUTE end NUMERIC
@ATTRIBUTE disease NUMERIC
@ATTRIBUTE obtained NUMERIC
@ATTRIBUTE scatter NUMERIC
@ATTRIBUTE oxidative NUMERIC
@ATTRIBUTE important NUMERIC
@ATTRIBUTE stimulation NUMERIC
@ATTRIBUTE appears NUMERIC
@ATTRIBUTE systemic NUMERIC
@ATTRIBUTE cardioplegic NUMERIC
@ATTRIBUTE case NUMERIC
@ATTRIBUTE locus NUMERIC
@ATTRIBUTE major NUMERIC
@ATTRIBUTE less NUMERIC
@ATTRIBUTE contribute NUMERIC
@ATTRIBUTE kidneys NUMERIC
@ATTRIBUTE treated NUMERIC
@ATTRIBUTE genes NUMERIC
@ATTRIBUTE any NUMERIC
@ATTRIBUTE primary NUMERIC
@ATTRIBUTE short NUMERIC
@ATTRIBUTE cs NUMERIC
@ATTRIBUTE organ NUMERIC
@ATTRIBUTE Sense {M1,M2,M3,M4,M5,None}
@DATA
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9482391
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9622148
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9576969
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9688670
0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9412971
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M5 % 9559934
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9434143
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9655795
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9553797
1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9678554
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M1 % 9523634
